ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Methylophilus	-2.298	14.824	8.25E-25	2.94E-23	Depleted	0.062	0.305
Persicobacter	-2.925	15.27	3.28E-23	1.14E-21	Depleted	0.039	0.299
Peptoniphilus	-6.657	14.053	1.69E-22	5.75E-21	Depleted	0.001	0.118
Owenweeksia	-1.523	14.458	3.55E-22	1.18E-20	Depleted	0.135	0.389
Coraliomargarita	-2.249	16.166	4.50E-21	1.46E-19	Depleted	0.168	0.799
Armatimonadetes_gp5	-2.413	16.774	7.42E-21	2.35E-19	Depleted	0.187	0.998
Pseudohongiella	-1.207	15.551	7.95E-21	2.47E-19	Depleted	0.304	0.702
Erythrobacter	5.072	19.189	1.81E-20	5.49E-19	Enriched	1.885	0.056
Lewinella	3.826	18.543	1.93E-20	5.74E-19	Enriched	1.945	0.137
Thermogutta	-2.774	13.824	8.25E-20	2.40E-18	Depleted	0.017	0.119
Sulfitobacter	2.624	18.074	8.66E-20	2.47E-18	Enriched	1.678	0.272
Streptomyces	-2.317	14.551	1.15E-19	3.23E-18	Depleted	0.03	0.147
Rivicola	-7.519	14.799	1.29E-19	3.53E-18	Depleted	0.001	0.214
Telmatospirillum	-3.721	14.823	1.31E-19	3.53E-18	Depleted	0.011	0.145
Oceanibaculum	-3.073	14.214	1.50E-18	3.97E-17	Depleted	0.018	0.152
Rhodoluna	-5.3	16.873	2.63E-18	6.82E-17	Depleted	0.018	0.716
Sphingorhabdus	4.559	17.687	2.87E-18	7.30E-17	Enriched	0.384	0.016
Zymomonas	-3.631	12.772	6.21E-18	1.54E-16	Depleted	0.004	0.045
Amaricoccus	6.8	15.474	6.28E-18	1.54E-16	Enriched	0.253	0.002
Salinirepens	-2.494	16.126	7.94E-18	1.92E-16	Depleted	0.075	0.422
Cellvibrio	-3.006	11.774	9.09E-18	2.16E-16	Depleted	0.005	0.04
Polynucleobacter	-6.374	12.967	2.53E-17	5.92E-16	Depleted	0.001	0.083
Motiliproteus	-5.12	12.772	5.89E-17	1.36E-15	Depleted	0.002	0.058
Fluviicola	-0.453	16.342	6.91E-17	1.56E-15	Depleted	0.099	0.136
Croceitalea	8.239	17.367	1.81E-16	4.03E-15	Enriched	0.801	0.003
Gilvibacter	5.293	14.694	2.03E-16	4.45E-15	Enriched	0.134	0.003
Polaribacter	-2.723	16.297	4.78E-16	1.03E-14	Depleted	0.129	0.854
Sedimenticola	-3.511	14.176	4.92E-16	1.05E-14	Depleted	0.023	0.26
Dokdonia	6.014	16.721	5.09E-16	1.07E-14	Enriched	0.416	0.006
Amphritea	-1.59	14.668	8.94E-16	1.85E-14	Depleted	0.048	0.145
Tenacibaculum	-1.106	19.074	1.05E-15	2.15E-14	Depleted	1.23	2.647
Roseibacillus	-3.104	16.72	5.51E-15	1.11E-13	Depleted	0.159	1.369
Tetrasphaera	-4.698	13.824	6.24E-15	1.24E-13	Depleted	0.001	0.03
Spongiimonas	-1.623	14.58	7.64E-15	1.49E-13	Depleted	0.025	0.078
Mucinivorans	-5.769	11.774	1.33E-14	2.56E-13	Depleted	0	0.027
Subdivision3_genera_incertae_sedis	-1.518	13.61	1.57E-14	2.99E-13	Depleted	0.042	0.119
Roseospirillum	-4.717	14.609	2.00E-14	3.76E-13	Depleted	0.006	0.153
Pseudoruegeria	3.748	17.799	2.23E-14	4.13E-13	Enriched	1.756	0.131
Hyphomicrobium	3.709	15.032	3.17E-14	5.81E-13	Enriched	0.272	0.021
Polaromonas	-4.745	13.288	4.28E-14	7.73E-13	Depleted	0.003	0.089
Lechevalieria	-4.327	13.136	5.70E-14	1.02E-12	Depleted	0.004	0.08
Oceaniserpentilla	-3.577	16.085	6.51E-14	1.15E-12	Depleted	0.039	0.471
Ekhidna	4.237	15.01	1.63E-13	2.83E-12	Enriched	0.157	0.008
Thiodictyon	-5.631	13.358	2.46E-13	4.23E-12	Depleted	0.001	0.041
Fulvibacter	-0.324	14.849	3.18E-13	5.40E-12	Depleted	0.025	0.031
Zobellia	8.469	17.096	3.83E-13	6.44E-12	Enriched	0.269	0.001
Desulfosarcina	-2.056	11.773	4.26E-13	7.07E-12	Depleted	0.008	0.033
Mycetocola	-5.569	15.68	6.08E-13	9.97E-12	Depleted	0.002	0.071
Muricauda	6.075	18.911	6.35E-13	1.03E-11	Enriched	0.69	0.01
Thalassobius	6.504	16.156	6.91E-13	1.11E-11	Enriched	0.309	0.003
Ruegeria	2.248	17.505	8.61E-13	1.36E-11	Enriched	1.124	0.237
Rubritalea	-0.838	16.861	8.75E-13	1.37E-11	Depleted	0.582	1.04
Marinicella	4.422	16.623	8.88E-13	1.38E-11	Enriched	0.317	0.015
Roseovarius	2.251	14.799	1.33E-12	2.05E-11	Enriched	0.168	0.035
Labrenzia	3.386	14.802	1.68E-12	2.55E-11	Enriched	0.131	0.012
Endozoicomonas	0.106	15.175	1.70E-12	2.56E-11	Enriched	0.027	0.025
Noviherbaspirillum	-3.793	11.774	3.59E-12	5.33E-11	Depleted	0.002	0.023
Flavicella	-5.798	15.653	4.26E-12	6.27E-11	Depleted	0.005	0.297
