ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Thiohalophilus	-1.595	11.551	0.000281974	0.001889094	Depleted	0.008	0.025
Ruminococcus	-1.435	14.58	0.000286926	0.001907779	Depleted	0.036	0.097
Methyloparacoccus	-1.099	12.872	0.000287437	0.001907779	Depleted	0.012	0.026
Ilumatobacter	-2.465	15.954	0.000298022	0.001968877	Depleted	0.151	0.833
Gp3	3.15	15.68	0.000318021	0.002091319	Enriched	0.18	0.02
Mycetocola	-6.307	14.358	0.000344519	0.002255175	Depleted	0.001	0.099
Deefgea	2.973	14.323	0.000347826	0.002266429	Enriched	0.14	0.018
Carboxydothermus	3.382	11.55	0.000355479	0.002305765	Enriched	0.015	0.001
Pirellula	2.487	13.774	0.000368682	0.002380587	Enriched	0.073	0.013
Oceanibaculum	-5.975	12.135	0.000378407	0.00243237	Depleted	0	0.026
Gemmiger	4.599	13.053	0.000385163	0.002464698	Enriched	0.025	0.001
Haematobacter	1.319	14.551	0.000394628	0.002513989	Enriched	0.074	0.03
Rubellimicrobium	2.828	14.458	0.000405551	0.00256272	Enriched	0.06	0.008
Ruegeria	3.219	14.799	0.000405869	0.00256272	Enriched	0.088	0.009
Defluviicoccus	-5.3	12.287	0.00041467	0.002606756	Depleted	0	0.016
Geobacter	-0.264	13.666	0.000423512	0.002650663	Depleted	0.072	0.087
Methylobacter	-0.292	14.289	0.000428546	0.002670458	Depleted	0.102	0.124
Hydrobacter	-16.816	11.773	0.000444465	0.002736854	Depleted	0	0.012
Coprococcus	16.112	11.772	0.00044871	0.002736854	Enriched	0.007	0
Sporolituus	16.725	11.773	0.000448764	0.002736854	Enriched	0.011	0
Butyrivibrio	17.382	11.966	0.000448781	0.002736854	Enriched	0.017	0
Proteus	19.133	15.323	0.00044879	0.002736854	Enriched	0.057	0
Selenomonas	6.868	16.01	0.000472051	0.002866457	Enriched	0.245	0.002
Mesorhizobium	2.365	15.566	0.000487757	0.002949279	Enriched	0.155	0.03
Spartobacteria_genera_incertae_sedis	2.818	17.709	0.000497377	0.002994752	Enriched	0.676	0.096
Propionibacterium	3.501	10.551	0.000518024	0.003105965	Enriched	0.008	0.001
Cellulophaga	6.923	14.579	0.000523114	0.003114182	Enriched	0.042	0
Rheinheimera	-0.2	17.815	0.000523759	0.003114182	Depleted	1.798	2.065
Pleomorphomonas	5.007	11.55	0.00053147	0.00314692	Enriched	0.011	0
Acetoanaerobium	3.192	10.967	0.000545734	0.003218029	Enriched	0.01	0.001
Kineosporia	3.713	13.214	0.000555305	0.003260991	Enriched	0.018	0.001
Chitinimonas	-1.302	13.667	0.000579219	0.00338748	Depleted	0.027	0.067
Halioglobus	-2.059	13.823	0.00059667	0.003475296	Depleted	0.025	0.102
Nitrolancea	3.49	13.358	0.000613784	0.003560448	Enriched	0.028	0.002
Subsaxibacter	-5.447	11.966	0.000644774	0.00372507	Depleted	0	0.018
Romboutsia	-1.138	12.667	0.000674098	0.003875939	Depleted	0.035	0.078
Desulfobacca	3.651	14.053	0.00067632	0.003875939	Enriched	0.057	0.005
Tindallia	-15.679	9.967	0.000730924	0.004172113	Depleted	0	0.005
Bryobacter	3.603	12.288	0.00074669	0.004245128	Enriched	0.021	0.002
Leptospira	-1.232	11.551	0.000773868	0.004382181	Depleted	0.008	0.02
Gramella	6.301	17.368	0.000793041	0.004473002	Enriched	0.413	0.005
Haliscomenobacter	-0.174	15.747	0.000806512	0.004531074	Depleted	0.328	0.37
Aquamicrobium	3.486	15.074	0.000848812	0.004750018	Enriched	0.078	0.007
Lacinutrix	15.832	9.966	0.000890667	0.004834831	Enriched	0.006	0
